Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
109,,Dragon Spacecraft Qualification Unit,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,4 March 2021,08:24
110,,Dragon,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,11 March 2021,08:13:29
111,,Dragon,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,,Dragon,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6643,Success,24 March 2021,08:28
113,,Dragon,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,,SpaceX CRS-1,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5B1061.2647,Success,23 April 2021,9:49
115,,SpaceX CRS-1,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7652,Success,29 April 2021,03:44
116,,SpaceX CRS-2,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9655,Success,4 May 2021,19:01
117,,SpaceX CRS-2,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.10657,Success,9 May 2021,06:42
118,,CASSIOPE,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1058.8660,Success,15 May 2021,22:56
119,,CASSIOPE,"15,600 kg",LEO,NASA,"Success
",F9 B5B1063.2665,Success,26 May 2021,18:59
120,,SES-8,"3,328 kg",LEO,Sirius XM,"Success
",F9 B5B1067.1668,Success,3 June 2021,17:29
121,,SES-8,"7,000 kg",GTO,,,F9 B5,,6 June 2021,04:26
,,Thaicom 6,,,,,,,,
,,Thaicom 6,,,,,,,,
,,SpaceX CRS-3,,,,,,,,
,,SpaceX CRS-3,,,,,,,,
,,Orbcomm-OG2,,,,,,,,
,,Orbcomm-OG2,,,,,,,,
,,AsiaSat 8,,,,,,,,
,,AsiaSat 8,,,,,,,,
,,AsiaSat 6,,,,,,,,
,,AsiaSat 6,,,,,,,,
,,SpaceX CRS-4,,,,,,,,
,,SpaceX CRS-4,,,,,,,,
,,SpaceX CRS-5,,,,,,,,
,,SpaceX CRS-5,,,,,,,,
,,DSCOVR,,,,,,,,
,,DSCOVR,,,,,,,,
,,ABS-3A,,,,,,,,
,,ABS-3A,,,,,,,,
,,SpaceX CRS-6,,,,,,,,
,,SpaceX CRS-6,,,,,,,,
,,TürkmenÄlem 52°E / MonacoSAT,,,,,,,,
,,TürkmenÄlem 52°E / MonacoSAT,,,,,,,,
,,SpaceX CRS-7,,,,,,,,
,,SpaceX CRS-7,,,,,,,,
,,Orbcomm-OG2,,,,,,,,
,,Orbcomm-OG2,,,,,,,,
,,Jason-3,,,,,,,,
,,Jason-3,,,,,,,,
,,SES-9,,,,,,,,
,,SES-9,,,,,,,,
,,SpaceX CRS-8,,,,,,,,
,,SpaceX CRS-8,,,,,,,,
,,JCSAT-14,,,,,,,,
,,JCSAT-14,,,,,,,,
,,Thaicom 8,,,,,,,,
,,Thaicom 8,,,,,,,,
,,ABS-2A,,,,,,,,
,,ABS-2A,,,,,,,,
,,SpaceX CRS-9,,,,,,,,
,,SpaceX CRS-9,,,,,,,,
,,JCSAT-16,,,,,,,,
,,JCSAT-16,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,SpaceX CRS-10,,,,,,,,
,,SpaceX CRS-10,,,,,,,,
,,EchoStar 23,,,,,,,,
,,EchoStar 23,,,,,,,,
,,SES-10,,,,,,,,
,,SES-10,,,,,,,,
,,NROL-76,,,,,,,,
,,NROL-76,,,,,,,,
,,Inmarsat-5 F4,,,,,,,,
,,Inmarsat-5 F4,,,,,,,,
,,SpaceX CRS-11,,,,,,,,
,,SpaceX CRS-11,,,,,,,,
,,BulgariaSat-1,,,,,,,,
,,BulgariaSat-1,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Intelsat 35e,,,,,,,,
,,Intelsat 35e,,,,,,,,
,,SpaceX CRS-12,,,,,,,,
,,SpaceX CRS-12,,,,,,,,
,,Formosat-5,,,,,,,,
,,Formosat-5,,,,,,,,
,,Boeing X-37B,,,,,,,,
,,Boeing X-37B,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,SES-11,,,,,,,,
,,SES-11,,,,,,,,
,,Koreasat 5A,,,,,,,,
,,Koreasat 5A,,,,,,,,
,,SpaceX CRS-13,,,,,,,,
,,SpaceX CRS-13,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Zuma,,,,,,,,
,,Zuma,,,,,,,,
,,GovSat-1,,,,,,,,
,,GovSat-1,,,,,,,,
,,Paz,,,,,,,,
,,Paz,,,,,,,,
,,Hispasat 30W-6,,,,,,,,
,,Hispasat 30W-6,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,SpaceX CRS-14,,,,,,,,
,,SpaceX CRS-14,,,,,,,,
,,Transiting Exoplanet Survey Satellite,,,,,,,,
,,Transiting Exoplanet Survey Satellite,,,,,,,,
,,Bangabandhu-1,,,,,,,,
,,Bangabandhu-1,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,SES-12,,,,,,,,
,,SES-12,,,,,,,,
,,SpaceX CRS-15,,,,,,,,
,,SpaceX CRS-15,,,,,,,,
,,Telstar 19V,,,,,,,,
,,Telstar 19V,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Merah Putih,,,,,,,,
,,Merah Putih,,,,,,,,
,,Telstar 18V,,,,,,,,
,,Telstar 18V,,,,,,,,
,,SAOCOM 1A,,,,,,,,
,,SAOCOM 1A,,,,,,,,
,,Es'hail 2,,,,,,,,
,,Es'hail 2,,,,,,,,
,,SSO-A,,,,,,,,
,,SSO-A,,,,,,,,
,,SpaceX CRS-16,,,,,,,,
,,SpaceX CRS-16,,,,,,,,
,,GPS III,,,,,,,,
,,GPS III,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Iridium NEXT,,,,,,,,
,,Nusantara Satu,,,,,,,,
,,Nusantara Satu,,,,,,,,
,,Crew Dragon Demo-1,,,,,,,,
,,Crew Dragon Demo-1,,,,,,,,
,,SpaceX CRS-17,,,,,,,,
,,SpaceX CRS-17,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,RADARSAT Constellation,,,,,,,,
,,RADARSAT Constellation,,,,,,,,
,,SpaceX CRS-18,,,,,,,,
,,SpaceX CRS-18,,,,,,,,
,,AMOS-17,,,,,,,,
,,AMOS-17,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,SpaceX CRS-19,,,,,,,,
,,SpaceX CRS-19,,,,,,,,
,,JCSat-18,,,,,,,,
,,JCSat-18,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Crew Dragon in-flight abort test,,,,,,,,
,,Crew Dragon in-flight abort test,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,SpaceX CRS-20,,,,,,,,
,,SpaceX CRS-20,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Crew Dragon Demo-2,,,,,,,,
,,Crew Dragon Demo-2,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,GPS III,,,,,,,,
,,GPS III,,,,,,,,
,,ANASIS-II,,,,,,,,
,,ANASIS-II,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,SAOCOM 1B,,,,,,,,
,,SAOCOM 1B,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,GPS III,,,,,,,,
,,GPS III,,,,,,,,
,,Crew-1,,,,,,,,
,,Crew-1,,,,,,,,
,,Sentinel-6 Michael Freilich (Jason-CS A),,,,,,,,
,,Sentinel-6 Michael Freilich (Jason-CS A),,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,SpaceX CRS-21,,,,,,,,
,,SpaceX CRS-21,,,,,,,,
,,SXM-7,,,,,,,,
,,SXM-7,,,,,,,,
,,NROL-108,,,,,,,,
,,NROL-108,,,,,,,,
,,Türksat 5A,,,,,,,,
,,Türksat 5A,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Transporter-1,,,,,,,,
,,Transporter-1,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Crew-2,,,,,,,,
,,Crew-2,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,Starlink,,,,,,,,
,,SpaceX CRS-22,,,,,,,,
,,SpaceX CRS-22,,,,,,,,
,,SXM-8,,,,,,,,
